Object Name,ESX Cluster,Datastore
linux-minimal-0200,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0201,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0202,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0203,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0204,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0205,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0206,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0207,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0208,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0209,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0210,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0211,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0212,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0213,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0214,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0215,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0216,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0217,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0218,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0219,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0220,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0221,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0222,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0223,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0224,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0225,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0226,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0227,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0228,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0229,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0230,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0231,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0232,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0233,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0234,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0235,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0236,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0237,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0238,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0239,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0240,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0241,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0242,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0243,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0244,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0245,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0246,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0247,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0248,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0249,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0250,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0251,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0252,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0253,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0254,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0255,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0256,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0257,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0258,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0259,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0260,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0261,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0262,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0263,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0264,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0265,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0266,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0267,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0268,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0269,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0270,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0271,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0272,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0273,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0274,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0275,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0276,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0277,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0278,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0279,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0280,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0281,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0282,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0283,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0284,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0285,poc01-67-cluster02,PURE-DS1-10TB
